definition_key,defining_subtopic,slug,sha256,links
205-20 ComponentofanEntity,205-20,component-of-an-entity,0f18c00b61d8a3b0fae6b9fb12b8b42dc2fc70e81a9aeed03fc36d4392c19238,10
205-20 DisposalGroup,205-20,disposal-group,557d7fdbc7dacb62740a9a1d73c66e1962dbf2919e637e1e453c92a563690c6f,17
205-20 Settlement,205-20,settlement-of-a-pension-or-postretirement-benefit-obligation,2c23471e3265df60aaae237ca9f85b091b3cbc5813d72523f4c19183345c122d,15
210-10 CurrentAssets,210-10,current-assets,bcc5bcc614dfba44490dd4527dddd0f1a2e765bcd3b808f203aa99a7e6735b5b,6
210-10 CurrentLiabilities,210-10,current-liabilities,518710db250cac9f647a95d1ad4d7ea839c293afc5142a8678a703db058993df,2
210-10 OperatingCycle,210-10,operating-cycle,be7f99dfb9d29db4bfd5108ff791a50b9fb7a0bd6b19bf64d2cc161c458f2126,9
210-10 Short-termObligations,210-10,short-term-obligations,941be92f1d1c9bf51410140bda2d2ffb388155b6c6265d75ef26004909db1023,1
210-10 WorkingCapital,210-10,working-capital,2ae57bd4792ffd5c42ece2618950bb932ffd16f5a500e0523e9aafaaaa8a141d,3
210-20 DaylightOverdraft,210-20,daylight-overdraft,0aa40ecf62278e9cef17e031c0b61b60a158725b68579f52e013b8d88b33d82b,1
210-20 RepurchaseAgreement,210-20,repurchase-agreement-accounted-for-as-a-collateralized-borrowing,2c2e6eced58a7460830ebd8edaefc7a6aab7548417a70a39ecf042eeb2157bf7,10
210-20 ReverseRepurchaseAgreement,210-20,reverse-repurchase-agreement-accounted-for-as-a-collateralized-borrowing,43ba3b43e9320767c32cbb0780f1d3378f8dfeb15c1887c4624bddf4cdd8ec90,6
210-20 RightofSetoff,210-20,right-of-setoff,4a6031c1c9fc129ca22a001276c749b86c0f1926e5568638deb32a285397c801,6
210-20 SecuritiesCustodian,210-20,securities-custodian,e31136ca87bfb54680ee2107c8708c6fc9af3b11f07e66bef8138d54c049d9eb,1
220-10 ComprehensiveIncome,220-10,comprehensive-income,993b6af30511f45c66064de9067da175672050f0c032ae6767506d9441c96e48,15
220-10 NetIncome,220-10,net-income,df8be220503640584801a22bb1b7d03b6bd22c4285405b534aaf2d1c2b367de4,4
220-10 OtherComprehensiveIncome,220-10,other-comprehensive-income,33d009f118d90259a65a7bf3508c37224f0cc3848caad1b0149647215a42bbc0,16
220-10 ReclassificationAdjustments,220-10,reclassification-adjustments,0d88b2be6874864753e639ccd13d7d00c339329d7e184f319eb2dddd2b6b6550,4
225-20 InfrequencyofOccurrence,225-20,infrequency-of-occurrence,85334b0990c5798a78b2679aea655befd80f4e2f7c63bdf87719776cabea8337,3
225-20 UnusualNature,225-20,unusual-nature,02440c84e4f025925940df0ccd3e5eb364b5406cb77362e101e670260c56c95a,4
225-30 BusinessInterruptionInsurance,225-30,business-interruption-insurance,b2ac9b7950990e3ae88de38de72a8c66c7bb03c401c436e47b2336abfbb7efcb,4
225-30 GrossMargin,225-30,gross-margin,448450770bbe69f959b5da4b36395e69b55792c7e97f7648468b0899e97182c9,2
230-10 Cash,230-10,cash,c00fc10250156c2aa2751f2cecd87aa5231a45289849db935ca2ae84b4eebdbb,14
230-10 CashEquivalents,230-10,cash-equivalents,02f4f7575a77c9a1cd1dea237e895c91559ec79aefe298d4464d3f3f571483c2,14
230-10 FinancingActivities,230-10,financing-activities,65b6022fd2b5c646a9fb01a7a608b4e578efc2f1f6b4c2f74ae2d8c3685e7e64,5
230-10 InvestingActivities,230-10,investing-activities,81ca436976c8b031871fe77fd49528e941cb2486f8c6a0ec59c61fed874808b9,6
230-10 OperatingActivities,230-10,operating-activities,0dec68d766415856d8082170377a10d9ba4ba32d4afe41dad58a9f3eb19c1161,3
250-10 AccountingChange,250-10,accounting-change,893dd6d290513b660fb984fb4ba64253201b087480ac50b9f876c9297fa34a7b,9
250-10 ChangeinAccountingEstimate,250-10,change-in-accounting-estimate,23197ed2de752cec0486ed9ef79ca44601263b1e97d84585ef2b59df139d7e8c,8
